owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Tanks;T-55A;;;;;;;;RU;;Tanks;;T-55A;;['damaged']
RU;Tanks;T-62 Obr. 1967;;;;;;;;UA;;Armoured Fighting Vehicles;;T-62 Obr. 1967;;['captured']
RU;Tanks;T-62M;;;;;;;;;;Infantry Fighting Vehicles;;T-62M;;['destroyed']
RU;Tanks;T-62M Obr. 2022;;;;;;;;;;Armoured Personnel Carriers;;T-62M Obr. 2022;;['abandoned', 'destroyed']
RU;Tanks;T-62MV;;;;;;;;;;Mine-Resistant Ambush Protected ;;T-62MV;;['captured', 'destroyed']
RU;Tanks;T-62MV Obr. 2022;;;;;;;;;;Infantry Mobility Vehicles;;T-62MV Obr. 2022;;['damaged', 'captured']
RU;Tanks;T-64A;;;;;;;;;;Command Posts And Communications Stations ;;T-64A;;['destroyedinanon-combatrelatedincident']
RU;Tanks;T-64BV;;;;;;;;;;Engineering Vehicles And Equipment ;;T-64BV;;['destroyedontheground']
RU;Tanks;T-72 'Ural';;;;;;;;;;Self-Propelled Anti-Tank Missile Systems;;T-72 'Ural';;['damagedontheground']
RU;Tanks;T-72A;;;;;;;;;;Artillery Support Vehicles And Equipment;;T-72A;;['sunk']
RU;Tanks;T-72AV;;;;;;;;;;Towed Artillery ;;T-72AV;;['damagedbeyondeconomicalrepair']
RU;Tanks;T-72B;;;;;;;;;;Self-Propelled Artillery ;;T-72B;;['abandoned']
RU;Tanks;T-72B Obr. 1989;;;;;;;;;;Multiple Rocket Launchers ;;T-72B Obr. 1989;;['damaged', 'abandoned']
RU;Tanks;T-72B Obr. 2022;;;;;;;;;;Anti-Aircraft Guns ;;T-72B Obr. 2022;;['scuttled']
RU;Tanks;T-72BA;;;;;;;;;;Self-Propelled Anti-Aircraft Guns ;;T-72BA;;
RU;Tanks;T-72B3;;;;;;;;;;Surface-To-Air Missile Systems ;;T-72B3;;
RU;Tanks;T-72B3 Obr. 2014;;;;;;;;;;Radars ;;T-72B3 Obr. 2014;;
RU;Tanks;T-72B3 Obr. 2016;;;;;;;;;;Jammers And Deception Systems ;;T-72B3 Obr. 2016;;
RU;Tanks;T-72B3 Obr. 2022;;;;;;;;;;Aircraft;;T-72B3 Obr. 2022;;
RU;Tanks;Unknown T-72;;;;;;;;;;Helicopters;;Unknown T-72;;
RU;Tanks;T-80B;;;;;;;;;;Unmanned Combat Aerial Vehicles;;T-80B;;
RU;Tanks;T-80BV;;;;;;;;;;Reconnaissance Unmanned Aerial Vehicles;;T-80BV;;
RU;Tanks;T-80BV Obr. 2022;;;;;;;;;;Naval Shipsand Submarines ;;T-80BV Obr. 2022;;
RU;Tanks;T-80U;;;;;;;;;;Trucks, Vehicles, and Jeeps;;T-80U;;
RU;Tanks;T-80UK;;;;;;;;;;Towed Artillery;;T-80UK;;
RU;Tanks;T-80UE-1;;;;;;;;;;Self-Propelled Artillery;;T-80UE-1;;
RU;Tanks;T-80UM2;;;;;;;;;;Multiple Rocket Launchers;;T-80UM2;;
RU;Tanks;T-80BVM;;;;;;;;;;Anti-Aircraft Guns;;T-80BVM;;
RU;Tanks;T-80BVM Obr. 2022;;;;;;;;;;Radars And Communications Equipment;;T-80BVM Obr. 2022;;
RU;Tanks;Unknown T-80;;;;;;;;;;Naval Ships;;Unknown T-80;;
RU;Tanks;T-90A;;;;;;;;;;;;T-90A;;
RU;Tanks;T-90AK;;;;;;;;;;;;T-90AK;;
RU;Tanks;T-90S;;;;;;;;;;;;T-90S;;
RU;Tanks;T-90M;;;;;;;;;;;;T-90M;;
RU;Tanks;Unknown tank;;;;;;;;;;;;Unknown tank;;
