,owner,origen,weapon,platform,total,number,Status,url,total_real,primary_key
9035,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,1,['destroyed'],https://i.postimg.cc/fbsfnMYf/bb3.jpg,19,_86ea758e6f382c6475f5
9036,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,2,['destroyed'],https://i.postimg.cc/QCX5wrz5/54.jpg,19,_1f37d88c6a1c5f25368c
9037,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,3,['destroyed'],https://i.postimg.cc/brqkfSBj/4311.png,19,_6231f58eebe3820b77ed
9038,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,4,['destroyed'],https://i.postimg.cc/QdD7jsxs/1013-Tornado-G-destr.jpg,19,_dd04c79b5bec2a82f148
9039,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,5,['destroyed'],https://i.postimg.cc/7ZPjLvy9/1010-bm21-grad-destr.jpg,19,_fbae63f44f636e5d4bd2
9040,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,6,['destroyed'],https://twitter.com/UAWeapons/status/1656923803677499393,19,_cf0ff97db87bfca16c9e
9041,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,7,['destroyed'],https://i.postimg.cc/vmkTRrDF/1004-Tornado-G-destr-xx-xx-22.jpg,19,_4d3bd167a2de48a83a70
9042,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,8,['destroyed'],https://i.postimg.cc/WbvzRdtT/1031-tornado-g-destr-31-12-22.jpg,19,_26f44a5c104c5a6d7fd8
9043,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,9,['destroyed'],https://i.postimg.cc/6QPdRDZh/3279.png,19,_b6a8a4d73658db54d276
9044,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,1,['damaged'],https://i.postimg.cc/RCcF8nBy/1015-Tornado-G-dam-03-07-23.jpg,19,_df167d462faf850d4fbe
9045,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,2,['damaged'],https://i.postimg.cc/bN1xJrDj/1038-Tornado-G-dam-14-10-23.jpg,19,_e72f319c26e2b9c65fcf
9046,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,1,['captured'],https://i.postimg.cc/HxCqbSVV/38.png,19,_d20dc5ad469ed0443dda
9047,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,2,['captured'],https://i.postimg.cc/nhS7s5SG/76.jpg,19,_5cc435fb061d2f34ccee
9048,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,3,['captured'],https://i.postimg.cc/GpHTZxy2/1098-grad.png,19,_7587d7b65760dff97a2e
9049,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,4,['captured'],https://twitter.com/UAWeapons/status/1568899249688952833,19,_2c50e2f3fb51cf300ffc
9050,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,5,['captured'],https://twitter.com/UAWeapons/status/1569347140035518466,19,_52f492ce4447c56ac15b
9051,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,6,['captured'],https://i.postimg.cc/NfSf99dr/1012-Tornado-G-destr.jpg,19,_e0cb3292800c55235aac
9052,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,7,"['damaged', 'captured']",https://i.postimg.cc/KvhG6nKh/1003-bm21-grad-dam-capt.jpg,19,_5f75aa0b9eb0076d967a
9053,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B17 Tornado-G,19,8,"['damaged', 'captured']",https://i.postimg.cc/y85J3WwK/234.jpg,19,_b85655c4e885847d4e5a
9056,RU,['Russia'],Multiple Rocket Launchers ,220mm TOS-1A,12,1,['destroyed'],https://twitter.com/UAWeapons/status/1569229459240230914,12,_51d9f711b80859bb0a31
9057,RU,['Russia'],Multiple Rocket Launchers ,220mm TOS-1A,12,2,['destroyed'],https://twitter.com/UAWeapons/status/1667240959396945944,12,_5c0b1aba42bc9deebdab
9058,RU,['Russia'],Multiple Rocket Launchers ,220mm TOS-1A,12,3,['destroyed'],https://twitter.com/UAWeapons/status/1684474103544049666,12,_e5c0b1a185dfd2617c56
9059,RU,['Russia'],Multiple Rocket Launchers ,220mm TOS-1A,12,4,['destroyed'],https://twitter.com/UAWeapons/status/1698077451736216005,12,_76115a4ca72ce38290bc
