,owner,origen,weapon,platform,total,number,Status,url,primary_key
154,RU,['the Soviet Union'],Tanks,T-64BV,72,5,"['damaged', 'abandoned']",https://i.postimg.cc/Dyzd0W42/1016-64-BV-and-72-B-dam-aband-19-10-23.jpg,_c8a0820210c8fb8dce5e
312,RU,['the Soviet Union'],Tanks,T-72B,317,96,['destroyed'],https://i.postimg.cc/gjvnW3xc/1006-t72b.jpg,_3526437fbebcb958d599
386,RU,['the Soviet Union'],Tanks,T-72B,317,170,['destroyed'],https://i.postimg.cc/cCWRbCcR/1008-t72b-bmp1-destr-25-04-23.jpg,_25ee8b1ba1e29a073775
430,RU,['the Soviet Union'],Tanks,T-72B,317,214,['destroyed'],https://twitter.com/naalsio26/status/1716126930477428823,_4aca4502e5188a283efc
431,RU,['the Soviet Union'],Tanks,T-72B,317,215,['destroyed'],https://i.postimg.cc/SxN0MQHj/1007-t72b-destr-23-10-23.jpg,_e861b3a0b9ec8317bcf5
432,RU,['the Soviet Union'],Tanks,T-72B,317,216,['destroyed'],https://i.postimg.cc/fTrFfzfp/1004-T-72-B3-T-72-B-destr-01-11-23.jpg,_925076b07e4f8c8747bc
451,RU,['the Soviet Union'],Tanks,T-72B,317,12,"['damaged', 'abandoned']",https://twitter.com/UAWeapons/status/1625086988779937792,_731b84c9c5b5093dc4f4
462,RU,['the Soviet Union'],Tanks,T-72B,317,23,['abandoned'],https://i.postimg.cc/SKWv4Wbb/1026-t72bobr22022-destr-t72b-brem1-mtlb-aband-31-10-23.jpg,_b53ea7d978d9823bc15b
463,RU,['the Soviet Union'],Tanks,T-72B,317,24,"['damaged', 'abandoned']",https://i.postimg.cc/Dyzd0W42/1016-64-BV-and-72-B-dam-aband-19-10-23.jpg,_3f8bbcf615d5d6b37aed
641,RU,['Russia'],Tanks,T-72B Obr. 2022,23,13,['destroyed'],https://i.postimg.cc/j5r4SZP9/1010-t72bobr2022-destr-02-11-23.jpg,_07950f1354c5e9604d72
642,RU,['Russia'],Tanks,T-72B Obr. 2022,23,14,['destroyed'],https://i.postimg.cc/FRggd3xK/1009-t72bobr2022-and-bmp2-destr-02-11-23.jpg,_3e47f94a2b461925a687
651,RU,['Russia'],Tanks,T-72B Obr. 2022,23,8,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_8718bd1f4d93f3a84750
1164,RU,['Russia'],Tanks,T-72B3 Obr. 2016,246,134,['destroyed'],https://i.postimg.cc/KcfDm7zq/1007-t72b3obr2016-destr-unkn-t72-dam-aband-02-11-23.jpg,_ec23a5a6e1b5e8c2361e
1356,RU,['Russia'],Tanks,Unknown T-72,137,62,['destroyed'],https://twitter.com/UAWeapons/status/1578063068721971200,_f2ef6e9f7b00433cb7a4
1396,RU,['Russia'],Tanks,Unknown T-72,137,102,['destroyed'],https://i.postimg.cc/Yq0nZP1v/1034-unkn-t72-destr-11-10-23.jpg,_0a7297a52a59b33dd25a
1397,RU,['Russia'],Tanks,Unknown T-72,137,103,['destroyed'],https://i.postimg.cc/8cqVFffn/1013-unknown-t72-destr-20-10-23.jpg,_b214ed20b8be78040aa6
1399,RU,['Russia'],Tanks,Unknown T-72,137,105,['destroyed'],https://i.postimg.cc/0QXvsBkv/1014-2x-unknown-t72-destr-20-10-23.jpg,_33a79d703675148da8ea
1400,RU,['Russia'],Tanks,Unknown T-72,137,106,['destroyed'],https://i.postimg.cc/MHcSKmHQ/1021-unkn-t72-destr-19-10-23.jpg,_bdbd520352fc08e29294
1401,RU,['Russia'],Tanks,Unknown T-72,137,107,['destroyed'],https://i.postimg.cc/wTzY9QVX/1009-unkn-t72-destr-23-10-23.jpg,_9a92bcd68d2077e67de2
1402,RU,['Russia'],Tanks,Unknown T-72,137,108,['destroyed'],https://i.postimg.cc/BnPqJwzg/1035-unkn-t72-destr-21-10-23.jpg,_40b7d19727dec501140a
1403,RU,['Russia'],Tanks,Unknown T-72,137,109,['destroyed'],https://i.postimg.cc/FsFwT9Sb/1031-unkn-T-72-destr-12-10-23.jpg,_0e3cadc41a7b1c0bdd7c
1404,RU,['Russia'],Tanks,Unknown T-72,137,110,['destroyed'],https://i.postimg.cc/qMZc3k22/1008-unkn-t72-destr-02-11-23.jpg,_2c666a64ec3cb1bd06c3
1505,RU,['the Soviet Union'],Tanks,T-80BV,428,73,['destroyed'],https://i.postimg.cc/76cyMGgg/1000-unkn-t72-destr.jpg,_3539f5ae62158d6daba6
1584,RU,['the Soviet Union'],Tanks,T-80BV,428,152,['destroyed'],https://i.postimg.cc/zDjPBByk/66y6.png,_483c04b35b7bf448de67
1718,RU,['the Soviet Union'],Tanks,T-80BV,428,286,['destroyed'],https://i.postimg.cc/hGnXJwZ9/1041-t80bv-destr-30-11-22.jpg,_4a82067eacccff42ff8d
1771,RU,['the Soviet Union'],Tanks,T-80BV,428,34,['abandoned'],https://i.postimg.cc/tCm7DKvx/1031-t80bv-aband-23-07-23.jpg,_5852c68d982159cb379b
1776,RU,['the Soviet Union'],Tanks,T-80BV,428,39,"['damaged', 'abandoned']",https://i.postimg.cc/kGjHZq3V/1018-2x-t80bv-1x-destr-1x-dam-aband-31-10-23.jpg,_c8576a048441b6a3c209
1910,RU,['Russia'],Tanks,T-80U,93,1,['abandoned'],https://i.postimg.cc/yYRCdvZV/1500-t80u.jpg,_2cddd61772f47fa15370
1911,RU,['Russia'],Tanks,T-80U,93,2,['abandoned'],https://i.postimg.cc/MGTLkhhC/655.jpg,_810c9b3b82a42c4d0eb5
1912,RU,['Russia'],Tanks,T-80U,93,3,['abandoned'],https://i.postimg.cc/6pZrMGJj/5554.png,_d41677222d2050904682
1913,RU,['Russia'],Tanks,T-80U,93,4,['abandoned'],https://i.postimg.cc/fT1zwVth/l2.png,_57c67f60d88bf5f7896b
1914,RU,['Russia'],Tanks,T-80U,93,6,['abandoned'],https://i.postimg.cc/sf47Cvsh/76.jpg,_5c87c0c199bba1f3358e
2087,RU,['Russia'],Tanks,Unknown T-80,10,1,['abandoned'],https://i.postimg.cc/65bxy8wG/8j.png,_961434fe0c4bdcd86fc3
2088,RU,['Russia'],Tanks,Unknown T-80,10,2,"['damaged', 'abandoned']",https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_cd549163a48c15481e59
2426,RU,['Russia'],Tanks,Unknown tank,292,246,['destroyed'],https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_4a0373126fea3c7f5cb1
2427,RU,['Russia'],Tanks,Unknown tank,292,247,['destroyed'],https://i.postimg.cc/Wp5gB2Wx/1033-unkn-tank-destr-19-10-23.jpg,_4e2dc4d250cd6a77b231
2439,RU,['Russia'],Tanks,Unknown tank,292,12,['damaged'],https://i.postimg.cc/mkr5X8Cn/1022-unkn-tank-dam-16-01-23.jpg,_8687fcc435c2300755b5
2452,RU,['Russia'],Tanks,Unknown tank,292,25,['damaged'],https://i.postimg.cc/DZRMmPFy/1042-unkn-tank-dam-08-10-23.jpg,_084bdd940bed5b20f9ce
2460,RU,['Russia'],Tanks,Unknown tank,292,8,"['damaged', 'abandoned']",https://i.postimg.cc/g0JBYvSX/443f.png,_792a1394fc8f5d75fb2c
2899,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,524,32,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_74f84ffb9e6b73af5292
2900,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,524,33,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_9a175557e86b6651f0b9
2901,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,524,34,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_38f1aba1a8e994e94f45
3249,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,36,1,['abandoned'],https://i.postimg.cc/8kynTp9c/1030-unkn-t72-and-MT-LB-with-ZU-23-aband-31-10-23.jpg,_5c6e8dc8cad68aaec546
3940,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),554,9,['abandoned'],https://twitter.com/UAWeapons/status/1590375007930417152,_c4a0b455ff93b3fd8ccb
3975,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),554,44,"['damaged', 'abandoned']",https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_2f79beccabd36bdcc0f9
3976,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),554,45,"['damaged', 'abandoned']",https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_88692f6338cf2108a22a
5204,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,132,26,['destroyed'],https://twitter.com/UAWeapons/status/1531369866061664256,_a85df83756d1d2ff1bca
5299,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,132,121,['destroyed'],https://i.postimg.cc/T3rkmZKZ/1032-unkn-bmp-destr-15-10-23.jpg,_4abee815a07121bc9509
5302,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,132,124,['destroyed'],https://i.postimg.cc/D0zfLVx8/1022-3x-unkn-bmp-destr-30-10-23.jpg,_98a790b53b4ccb01c791
6724,RU,['Russia'],Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,51,15,['destroyed'],https://twitter.com/UAWeapons/status/1528848223519088644,_818a9d43e253e54aa29d
6753,RU,['Russia'],Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,51,44,['destroyed'],https://i.postimg.cc/NFj3N78m/1054-BTR-80-or-82-destr-04-10-23.jpg,_e5b9099f8e986307dc44
6858,RU,['the Soviet Union'],Armoured Personnel Carriers,BTR-D,81,22,['captured'],https://i.postimg.cc/DwVTGSbj/1036-BTR-D-capt-07-09-22.jpg,_8481fb8853fe89e26a19
7503,RU,['the Soviet Union'],Engineering Vehicles And Equipment ,BREM-1 armoured recovery vehicle,45,21,['destroyed'],https://i.postimg.cc/N0FCZBdg/1004-BREM-1-destr-27-10-23.jpg,_f700c4193ee14625264a
8202,RU,['the Soviet Union'],Towed Artillery ,152mm 2A65 Msta-B howitzer,117,36,['captured'],https://i.postimg.cc/05T77GvK/1007-3x-Msta-B-capt-30-11-22.jpg,_a4c4ae24b370eca8466e
8508,RU,['the Soviet Union'],Self-Propelled Artillery ,152mm 2S3(M) Akatsiya,147,109,['destroyed'],https://i.postimg.cc/fycxvHvq/1011-2-S3-destr-01-11-23.jpg,_dabf2415a9f877fd4e09
12086,RU,['Russia'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,901,699,['destroyed'],https://i.postimg.cc/VNwJN4jm/1022-kamaz6x6-destr-16-10-23.jpg,_486bf45f41bec696f5d9
13640,UA,['Germany'],Tanks,Leopard 2A4,11,1,"['damaged', 'abandoned']",https://i.postimg.cc/MHLmR61X/2001-BTR4-destr-m113-ypr-and-leo2a4-dam-aband-01-11-23.,_d9a497096b58d3f50f02
13906,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,38,['destroyed'],https://i.postimg.cc/bvjDCHZ5/2009-MT-LB-with-ZU-23-AA-gun-destr-14-05-23.jpg,_b1fdfef7a0f1a5a17d80
13907,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,39,['destroyed'],https://i.postimg.cc/qqYg88fj/2018-mtlb-destr-30-11-22.png,_776cada790a0e52ad07d
13908,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,40,['destroyed'],https://i.postimg.cc/8knFQVFM/2019-mtlb-destr-30-11-22.png,_87b2a60f8c7cb5d82ad6
13909,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,41,['destroyed'],https://i.postimg.cc/rmVdcVCC/2040-mtlb-destr-11-05-23.jpg,_eed8b0996ca9ebd6e78d
13910,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,42,['destroyed'],https://i.postimg.cc/BbthYRR6/2004-mtlb-destr-19-05-23.jpg,_736a5dbc2f5c1083569c
13911,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,43,['destroyed'],https://i.postimg.cc/WprbsRYr/2007-MT-LB-destr-11-03-22.jpg,_0762ef0c7a93b5db3ef5
13912,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,44,['destroyed'],https://i.postimg.cc/Z54nwskm/2420.png,_6aaba6e9098e511c3f73
13913,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,55,45,['destroyed'],https://i.postimg.cc/xTQMBdDC/32.png,_5e077098086678f4fb39
14551,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),181,13,['abandoned'],https://i.postimg.cc/QCvkqN0n/4313.png,_2b6094822fb8f8138cfd
14552,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),181,14,"['damaged', 'abandoned']",https://i.postimg.cc/jj25nTyn/321.png,_7a0f1a92a88cb1dc9c2e
14553,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),181,15,"['damaged', 'abandoned']",https://i.postimg.cc/rFYj2FsQ/2008-bmp2-dam-aband-26-09-23.jpg,_256807371f051eff09a9
14809,UA,['Poland'],Infantry Fighting Vehicles,KTO Rosomak,3,1,['abandoned'],https://i.postimg.cc/h4Tn8QJg/5422.png,_2577649ef66174ed2f87
16605,UA,['the Soviet Union'],Aircraft,MiG-29 fighter aircraft,24,23,['destroyedontheground'],https://i.postimg.cc/52tyFBn7/2004-mig29-destr-30-09-23.jpg,_08c805c6973d679b257c
16629,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,11,['destroyed'],https://i.postimg.cc/BZhbRRp1/7762.png,_8ab35de88db4a30fc487
16630,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,12,['destroyed'],https://i.postimg.cc/2ym06SYn/229.png,_61582e8fc38364c0e4bb
16631,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,13,['destroyed'],https://twitter.com/UAWeapons/status/1571914761344012288,_e6ca4065478ff523ae3e
16632,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,14,['damagedbeyondeconomicalrepair'],https://twitter.com/UAWeapons/status/1506317219000721412,_d0ed2d114ce847804559
16633,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,15,['destroyed'],https://i.postimg.cc/qBF97szr/62.png,_1f193d3498cf51b9467c
16634,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,16,['destroyed'],https://i.postimg.cc/9F4PYCXX/2019-su25-destr-27-01-23.jpg,_20d2c73112104373612a
16635,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,17,17,['destroyed'],https://twitter.com/UAWeapons/status/1711843075998269528,_bd7e9f7f56448f26d6e9
