,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
129,RU,['the Soviet Union'],Tanks,T-64BV,76,42,['destroyed'],https://twitter.com/UAWeapons/status/1658805354853957635,_b60a01e80d3342183f15,21/05/2023
154,RU,['the Soviet Union'],Tanks,T-64BV,76,5,"['damaged', 'abandoned']",https://i.postimg.cc/Dyzd0W42/1016-64-BV-and-72-B-dam-aband-19-10-23.jpg,_c8a0820210c8fb8dce5e,05/11/2023
312,RU,['the Soviet Union'],Tanks,T-72B,325,96,['destroyed'],https://i.postimg.cc/gjvnW3xc/1006-t72b.jpg,_3526437fbebcb958d599,30/08/2022
386,RU,['the Soviet Union'],Tanks,T-72B,325,170,['destroyed'],https://i.postimg.cc/cCWRbCcR/1008-t72b-bmp1-destr-25-04-23.jpg,_25ee8b1ba1e29a073775,27/04/2023
430,RU,['the Soviet Union'],Tanks,T-72B,325,214,['destroyed'],https://twitter.com/naalsio26/status/1716126930477428823,_4aca4502e5188a283efc,24/10/2023
431,RU,['the Soviet Union'],Tanks,T-72B,325,215,['destroyed'],https://i.postimg.cc/SxN0MQHj/1007-t72b-destr-23-10-23.jpg,_e861b3a0b9ec8317bcf5,24/10/2023
432,RU,['the Soviet Union'],Tanks,T-72B,325,216,['destroyed'],https://i.postimg.cc/fTrFfzfp/1004-T-72-B3-T-72-B-destr-01-11-23.jpg,_925076b07e4f8c8747bc,02/11/2023
451,RU,['the Soviet Union'],Tanks,T-72B,325,12,"['damaged', 'abandoned']",https://twitter.com/UAWeapons/status/1625086988779937792,_731b84c9c5b5093dc4f4,14/02/2023
458,RU,['the Soviet Union'],Tanks,T-72B,325,19,"['damaged', 'abandoned']",https://twitter.com/UAWeapons/status/1689240998394671104,_2a901c4209eec5a213f9,11/08/2023
459,RU,['the Soviet Union'],Tanks,T-72B,325,20,"['damaged', 'abandoned']",https://i.postimg.cc/sDWVkfG0/4477.png,_b99edd6713de05d0ac5a,29/08/2023
460,RU,['the Soviet Union'],Tanks,T-72B,325,21,"['damaged', 'abandoned']",https://i.postimg.cc/KvgcN12R/3786.png,_e45280f1919cc14b5c68,10/09/2023
461,RU,['the Soviet Union'],Tanks,T-72B,325,22,['abandoned'],https://i.postimg.cc/ydjpgsNf/1027-t72b-aband.jpg,_6f442c8f99caa5ae2243,02/11/2023
462,RU,['the Soviet Union'],Tanks,T-72B,325,23,['abandoned'],https://i.postimg.cc/SKWv4Wbb/1026-t72bobr22022-destr-t72b-brem1-mtlb-aband-31-10-23.jpg,_b53ea7d978d9823bc15b,02/11/2023
463,RU,['the Soviet Union'],Tanks,T-72B,325,24,"['damaged', 'abandoned']",https://i.postimg.cc/Dyzd0W42/1016-64-BV-and-72-B-dam-aband-19-10-23.jpg,_3f8bbcf615d5d6b37aed,05/11/2023
574,RU,['the Soviet Union'],Tanks,T-72B Obr. 1989,96,41,['destroyed'],https://i.postimg.cc/ZKX1sWqV/331.png,_1fdf69ab52f815acd4e6,25/05/2022
596,RU,['the Soviet Union'],Tanks,T-72B Obr. 1989,96,63,['destroyed'],https://i.postimg.cc/RFWcX8J9/1020-72-B-obr-1989-destr-30-11-22.jpg,_c3411629fd180c7ca05e,14/10/2023
641,RU,['Russia'],Tanks,T-72B Obr. 2022,28,13,['destroyed'],https://i.postimg.cc/j5r4SZP9/1010-t72bobr2022-destr-02-11-23.jpg,_07950f1354c5e9604d72,05/11/2023
642,RU,['Russia'],Tanks,T-72B Obr. 2022,28,14,['destroyed'],https://i.postimg.cc/FRggd3xK/1009-t72bobr2022-and-bmp2-destr-02-11-23.jpg,_3e47f94a2b461925a687,05/11/2023
651,RU,['Russia'],Tanks,T-72B Obr. 2022,28,8,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_8718bd1f4d93f3a84750,05/11/2023
722,RU,['Russia'],Tanks,T-72B3,354,42,['destroyed'],https://postimg.cc/62Y8kj5j,_39204f122fb468ee6f9c,07/05/2022
730,RU,['Russia'],Tanks,T-72B3,354,50,['destroyed'],https://i.postimg.cc/wxX1Pr3p/438.png,_67780505a92921408b58,22/05/2022
760,RU,['Russia'],Tanks,T-72B3,354,80,['destroyed'],https://i.postimg.cc/x8Lh6m9T/1000-t72b3.jpg,_39bf375a33d7315ba461,28/08/2022
788,RU,['Russia'],Tanks,T-72B3,354,108,['destroyed'],https://postlmg.cc/B8s41g1Z,_90698fc544583f36acab,11/04/2023
898,RU,['Russia'],Tanks,T-72B3,354,218,['destroyed'],https://i.postimg.cc/4Ndqc7Vp/1009-T-80-BVM-BTR-80-MT-LB-T-72-B3-and-Ural-4320-destr-24-11-22.jpg,_2587cb6153ee32c0f33d,02/11/2023
899,RU,['Russia'],Tanks,T-72B3,354,219,['destroyed'],https://i.postimg.cc/tTyFj7HG/1029-72-B3-destr-04-11-23.jpg,_f7328258dab08ef4f916,05/11/2023
1045,RU,['Russia'],Tanks,T-72B3 Obr. 2016,249,14,['destroyed'],https://i.postimg.cc/DwB9FktZ/479p.png,_8f0b7836d632a9c45b50,08/03/2022
1164,RU,['Russia'],Tanks,T-72B3 Obr. 2016,249,134,['destroyed'],https://i.postimg.cc/KcfDm7zq/1007-t72b3obr2016-destr-unkn-t72-dam-aband-02-11-23.jpg,_ec23a5a6e1b5e8c2361e,05/11/2023
1204,RU,['Russia'],Tanks,T-72B3 Obr. 2016,249,32,['captured'],https://i.postimg.cc/vTwPKBMC/5n.png,_f9628e681125ff8358c8,28/03/2022
1229,RU,['Russia'],Tanks,T-72B3 Obr. 2016,249,57,['captured'],https://i.postimg.cc/CKhm2Jgk/1003-t72b3-2016.jpg,_f4e1fcf74a71a6b5e835,05/09/2022
1276,RU,['Russia'],Tanks,T-72B3 Obr. 2016,249,104,['captured'],https://i.postimg.cc/SxxSvW8Z/1004-t72b3.jpg,_522b2b17787f15436c43,17/09/2022
1277,RU,['Russia'],Tanks,T-72B3 Obr. 2016,249,105,['captured'],https://twitter.com/naalsio26/status/1681970718911676417,_299ce6363b9c37a68639,21/07/2023
1311,RU,['Russia'],Tanks,Unknown T-72,148,17,['destroyed'],https://twitter.com/UAWeapons/status/1524129863447285761,_fbfa8abac68f76b12430,11/05/2022
1321,RU,['Russia'],Tanks,Unknown T-72,148,27,['destroyed'],https://i.postimg.cc/cLg02zbz/7663.jpg,_cfff07c63d51b91d7113,01/06/2022
1356,RU,['Russia'],Tanks,Unknown T-72,148,62,['destroyed'],https://twitter.com/UAWeapons/status/1578063068721971200,_f2ef6e9f7b00433cb7a4,06/10/2022
1396,RU,['Russia'],Tanks,Unknown T-72,148,102,['destroyed'],https://i.postimg.cc/Yq0nZP1v/1034-unkn-t72-destr-11-10-23.jpg,_0a7297a52a59b33dd25a,11/10/2023
1397,RU,['Russia'],Tanks,Unknown T-72,148,103,['destroyed'],https://i.postimg.cc/8cqVFffn/1013-unknown-t72-destr-20-10-23.jpg,_b214ed20b8be78040aa6,21/10/2023
1399,RU,['Russia'],Tanks,Unknown T-72,148,105,['destroyed'],https://i.postimg.cc/0QXvsBkv/1014-2x-unknown-t72-destr-20-10-23.jpg,_33a79d703675148da8ea,21/10/2023
