,owner,origen,weapon,platform,total,number,Status,url,primary_key
2,RU,['the Soviet Union'],Tanks,T-62 Obr. 1972,1,1,['abandoned'],https://i.postimg.cc/4N95JpPv/1035-T-62-Obr-1972-aband-10-12-23.jpg,_927f3e882db1ef941d71
28,RU,['the Soviet Union'],Tanks,T-62M,70,26,['destroyed'],https://i.postimg.cc/Hsm7xWy2/1011-t62m-destr-29-11-23.jpg,_c95c985eb6680777cb35
29,RU,['the Soviet Union'],Tanks,T-62M,70,27,['destroyed'],https://i.postimg.cc/qMV8j4c4/1039-t62m-destr-09-01-24.jpg,_a1e7e86fcdfcee49c28c
30,RU,['the Soviet Union'],Tanks,T-62M,70,28,['destroyed'],https://i.postimg.cc/Dw3GQ3mg/1026-T-62-M-destr-09-11-22.jpg,_810949b024a257227464
36,RU,['the Soviet Union'],Tanks,T-62M,70,6,['damaged'],https://i.postimg.cc/DzKczbq7/1025-T-62-M-dam-09-11-22.jpg,_8201243ef6f4ebc13e0c
37,RU,['the Soviet Union'],Tanks,T-62M,70,1,"['damaged', 'abandoned']",https://i.postimg.cc/Jzf348Lr/1021-t62m-dam-aband-21-12-23.jpg,_eede064c77e3fc376187
75,RU,['Russia'],Tanks,T-62M Obr. 2022,6,3,['destroyed'],https://i.postimg.cc/fTLFbBc3/1000-t62m-obr2022-destr-01-11-23.jpg,_df03f588f56f46c51b89
76,RU,['Russia'],Tanks,T-62M Obr. 2022,6,4,['destroyed'],https://i.postimg.cc/Dy8vHhRg/1042-T-62-M-Obr-2022-destr-25-12-23.jpg,_e4c212596d6512d8070c
77,RU,['Russia'],Tanks,T-62M Obr. 2022,6,1,['damaged'],https://i.postimg.cc/pT68MBGL/1025-t62m-2022-dam-16-11-23.jpg,_b34598243d37a88d5489
78,RU,['Russia'],Tanks,T-62M Obr. 2022,6,1,['abandoned'],https://i.postimg.cc/Pr1rDf8q/1008-T-62-M-Obr-2022-aband-24-11-23.jpg,_ffbacb17cb99f2fbf081
83,RU,['the Soviet Union'],Tanks,T-62MV,18,5,['destroyed'],https://i.postimg.cc/DfLXn480/1004-t62mv-destr-28-06-23.jpg,_2323fd0bb6ee6f67cdb9
84,RU,['the Soviet Union'],Tanks,T-62MV,18,6,['destroyed'],https://i.postimg.cc/YqjGfKC1/1059-t62mv-destr-11-12-23.jpg,_7487099e2e76792c92c7
87,RU,['the Soviet Union'],Tanks,T-62MV,18,2,"['damaged', 'abandoned']",https://i.postimg.cc/Df6cQRq6/1002-t62mv-dam-aband-08-01-23.jpg,_b5dd762421e2f47f6add
114,RU,['the Soviet Union'],Tanks,T-64BV,79,14,['destroyed'],https://i.postimg.cc/XqRF576z/1069-t64bv-destr-17-12-23.jpg,_e39ac65a0301f7dcd0b6
130,RU,['the Soviet Union'],Tanks,T-64BV,79,30,['destroyed'],https://twitter.com/NOELreports/status/1737075787478491226,_22baa08b5287a43b8d55
158,RU,['the Soviet Union'],Tanks,T-64BV,79,58,['destroyed'],https://i.postimg.cc/DfNQ97HP/1017-T-64-BV-destr-16-11-23.jpg,_0f245ee9127ea37f56ee
159,RU,['the Soviet Union'],Tanks,T-64BV,79,59,['destroyed'],https://i.postimg.cc/kg244rdJ/1044-T-64-BV-destr-30-10-23.jpg,_9def9111417875d07df1
160,RU,['the Soviet Union'],Tanks,T-64BV,79,60,['destroyed'],https://i.postimg.cc/L5N5Zc9g/3200-T-64-BV-destr-15-05-22.jpg,_5207f74c9d4d0048d006
161,RU,['the Soviet Union'],Tanks,T-64BV,79,61,['destroyed'],https://i.postimg.cc/NFrfSbt4/1000-T-64-BV-destr-17-07-22.jpg,_221ada3f1242c8ffb22f
162,RU,['the Soviet Union'],Tanks,T-64BV,79,62,['destroyed'],https://i.postimg.cc/FKwD7ZMk/1029-t64bv-destr-06-12-23.jpg,_4751275b42ed6d9d9e86
171,RU,['the Soviet Union'],Tanks,T-64BV,79,1,['abandoned'],https://twitter.com/Osinttechnical/status/1543835821123534849,_84056941a8555c3b75d4
172,RU,['the Soviet Union'],Tanks,T-64BV,79,2,"['damaged', 'abandoned']",https://i.postimg.cc/jSJ8dJ3K/1042-t72b-aband-11-10-23.jpg,_4a1502234a9c5ec59e8c
173,RU,['the Soviet Union'],Tanks,T-64BV,79,3,"['damaged', 'abandoned']",https://i.postimg.cc/0NcRYBJS/1046-t64bv-dam-aband-18-10-23.jpg,_60fecb6634684ace1beb
174,RU,['the Soviet Union'],Tanks,T-64BV,79,4,['abandoned'],https://i.postimg.cc/yNpVKk2L/1007_T-64BV_aband_t64bv_21_11_23.jpg,_1496638cefc21b128215
178,RU,['the Soviet Union'],Tanks,T-64BV,79,4,['captured'],https://i.postimg.cc/v8J9YFfJ/1007.jpg,_ed318c1d021aac84bb52
179,RU,['the Soviet Union'],Tanks,T-64BVK,1,1,['destroyed'],https://i.postimg.cc/rwVpBPxz/1002-t64bv-destr.jpg,_bc7a3976208b8536be3c
207,RU,['the Soviet Union'],Tanks,T-72A,43,26,['destroyed'],https://i.postimg.cc/T1ryp9f8/1008-t72a-destr-01-07-23.jpg,_4c36b73f39d6a4c1faeb
234,RU,['the Soviet Union'],Tanks,T-72AV,14,10,['destroyed'],https://i.postimg.cc/L6zv8gxs/2022-09-03-unk-t-72-2.jpg,_733e5fc9d071e02bef80
269,RU,['the Soviet Union'],Tanks,T-72B,323,31,['destroyed'],https://i.postimg.cc/RCywyGJL/1070-t72b-destr-17-12-23.jpg,_06aba408a1b68f974b41
273,RU,['the Soviet Union'],Tanks,T-72B,323,35,['destroyed'],https://i.postimg.cc/NfBsPqv3/1014-t72b-destr-27-11-23.jpg,_c8001e1a3687f3990128
274,RU,['the Soviet Union'],Tanks,T-72B,323,36,['destroyed'],https://i.postimg.cc/vZgLsBC2/1023-t72b-destr-05-06-22.jpg,_9160f9cdb825013c712b
288,RU,['the Soviet Union'],Tanks,T-72B,323,50,['destroyed'],https://i.postimg.cc/HWQj06DR/1030-t72b-destr-27-12-23.jpg,_ec0c8d945601c2e352b0
289,RU,['the Soviet Union'],Tanks,T-72B,323,51,['destroyed'],https://i.postimg.cc/dtSmpdNT/1015-t72b-destr-24-07-23.jpg,_135ec594559945b742ad
