indice;owner;origen;weapon;platform;total;number;Status;url;primary_key_base;primary_key_new;;owner;origen;weapon;platform;total;number;Status;url
2970;RU;['the Soviet Union'];Armoured Fighting Vehicles;MT-LB;522;69;['captured'];https://twitter.com/UAWeapons/status/1569229402860552192;_6e745b611ce0c3108a6c;_cc27b44bc5e13b3e6106;2970;RU;['the Soviet Union'];Armoured Fighting Vehicles;MT-LB;522;6970;['captured'];https://twitter.com/UAWeapons/status/1569229402860552192
2971;RU;['the Soviet Union'];Armoured Fighting Vehicles;MT-LB;522;70;['captured'];https://twitter.com/UAWeapons/status/1569229402860552192;_b94c04a529c0dabc2ad8;_cc27b44bc5e13b3e6106;;;;;;;;;
7323;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;6;1;['destroyed'];https://i.postimg.cc/FRsz7F88/2022-04-03-barnaul-t.jpg;_ec60e8b017dd39301e2e;_c4a6a48576b078644a32;7322;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units;6;1;['destroyed'];https://i.postimg.cc/FRsz7F88/2022-04-03-barnaul-t.jpg
7324;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;6;2;['destroyed'];https://i.postimg.cc/bvMbDdtk/1026-9-S932-1-Barnaul-T-destr-16-03-23.jpg;_280ac01c1eb178b5ad6a;_15328e06c7d90122c22b;7323;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units;6;2;['destroyed'];https://i.postimg.cc/bvMbDdtk/1026-9-S932-1-Barnaul-T-destr-16-03-23.jpg
7325;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;6;1;['captured'];https://i.postimg.cc/PqBBRwbf/557.png;_ffe793ca6ab28488e31b;_3c1269417ec29fa3c091;7324;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units;6;1;['captured'];https://i.postimg.cc/PqBBRwbf/557.png
7326;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;6;2;['captured'];https://i.postimg.cc/7ZVjPfT2/3217.png;_92d7b963852f05b67677;_06a7c848e41773342023;7325;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units;6;2;['captured'];https://i.postimg.cc/7ZVjPfT2/3217.png
7327;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;6;3;['captured'];https://i.postimg.cc/VL6shSr2/357.jpg;_55103f76edaaaa1fe7df;_65180a9b21b976efbd54;7326;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units;6;3;['captured'];https://i.postimg.cc/VL6shSr2/357.jpg
7328;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;6;4;['captured'];https://i.postimg.cc/xqDwqCrN/887.jpg;_9040bda2bd31d4fe5bfa;_a4b4507e901bcf128351;7327;RU;['Russia'];Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units;6;4;['captured'];https://i.postimg.cc/xqDwqCrN/887.jpg
9237;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;1;['destroyed'];https://i.postimg.cc/7LmZpjbQ/3k.png;_3ed41888a0c0196baffe;_e575a288bdb6bb905d1d;9236;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;1;['destroyed'];https://i.postimg.cc/7LmZpjbQ/3k.png
9238;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;2;['destroyed'];https://i.postimg.cc/rwWB8ZKp/3167.png;_932de7f7e1eb7f3e5204;_03a2afa1ec95c33a6518;9237;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;2;['destroyed'];https://i.postimg.cc/rwWB8ZKp/3167.png
