,Type,Total,Destroyed,Damaged,Abandoned,Captured
1,Tanks,2475,1618,140,167,550
2,Armoured Fighting Vehicles,1042,696,30,47,269
3,Infantry Fighting Vehicles,3007,2102,117,170,618
4,Armoured Personnel Carriers,369,249,11,17,92
5,Mine-Resistant Ambush Protected (MRAP) Vehicles,49,35,4,1,9
6,Infantry Mobility Vehicles,224,161,8,4,51
7,Command Posts And Communications Stations,256,167,3,2,84
8,Engineering Vehicles And Equipment,359,181,10,43,125
9,Self-Propelled Anti-Tank Missile Systems,42,18,1,4,19
10,Artillery Support Vehicles And Equipment,109,55,0,2,52
11,Towed Artillery,333,192,35,5,101
12,Self-Propelled Artillery,591,445,32,7,107
13,Multiple Rocket Launchers,303,226,22,2,53
14,Anti-Aircraft Guns,19,5,0,0,14
15,Self-Propelled Anti-Aircraft Guns,25,14,1,2,8
16,Surface-To-Air Missile Systems,176,123,25,4,24
17,Radars,48,31,5,0,9
18,Jammers And Deception Systems,60,45,8,0,7
19,Aircraft,93,85,8,0,0
20,Helicopters,132,102,28,0,2
21,Unmanned Combat Aerial Vehicles,14,11,0,0,3
22,Reconnaissance Unmanned Aerial Vehicles,306,175,0,0,131
23,Naval Shipsand Submarines,16,11,5,0,0
24,"Trucks, Vehicles, and Jeeps",2967,2277,66,51,573
