,Type,Total,Destroyed,Damaged,Abandoned,Captured
1,Tanks,693,458,56,38,141
2,Armoured Fighting Vehicles,335,237,9,9,80
3,Infantry Fighting Vehicles,787,574,47,51,115
4,Armoured Personnel Carriers,368,220,26,29,93
5,Mine-Resistant Ambush Protected (MRAP) Vehicles,178,123,25,19,11
6,Infantry Mobility Vehicles,393,241,32,7,116
7,Command Posts And Communications Stations,18,14,0,0,4
8,Engineering Vehicles And Equipment,94,54,10,5,25
9,Self-Propelled Anti-Tank Missile Systems,21,8,0,1,12
10,Artillery Support Vehicles And Equipment,23,10,0,0,13
11,Towed Artillery,166,95,54,2,18
12,Self-Propelled Artillery,241,169,49,0,23
13,Multiple Rocket Launchers,50,33,9,0,8
14,0,0,0,0,0,0
15,Self-Propelled Anti-Aircraft Guns,7,2,1,1,3
16,Surface-To-Air Missile Systems,129,107,15,1,6
17,Radars And Communications Equipment,84,62,10,1,11
18,0,0,0,0,0,0
19,Aircraft,78,76,1,0,1
20,Helicopters,37,33,1,0,3
21,Unmanned Combat Aerial Vehicles,25,25,0,0,0
22,Reconnaissance Unmanned Aerial Vehicles,195,120,1,0,74
23,Naval Ships,27,9,1,0,17
24,"Trucks, Vehicles, and Jeeps",767,554,17,12,184
