,owner,origen,weapon,platform,total,number,Status,url
0,UA,['the Soviet Union'],Tanks,T-64A,2,1,['destroyed'],https://i.postimg.cc/dVvPF6kS/2022-04-07-UA-T-64-BV-destroyed.jpg
1,UA,['the Soviet Union'],Tanks,T-64A,2,1,['captured'],https://i.postimg.cc/kXYMFPXM/39.jpg
2,UA,['the Soviet Union'],Tanks,T-64B,4,1,['destroyed'],https://i.postimg.cc/pX1zHz7L/431.png
3,UA,['the Soviet Union'],Tanks,T-64B,4,2,['destroyed'],https://i.postimg.cc/FK3FZ04Q/427.png
4,UA,['the Soviet Union'],Tanks,T-64B,4,1,['captured'],https://i.postimg.cc/9fH0rFwJ/2000-t64b-capt-04-03-22.jpg
5,UA,['the Soviet Union'],Tanks,T-64B,4,2,"['damaged', 'captured']",https://twitter.com/UAWeapons/status/1633907229647618048
6,UA,['the Soviet Union'],Tanks,T-64BV,255,1,['destroyed'],https://i.postimg.cc/vZnd6LYT/f321.png
7,UA,['the Soviet Union'],Tanks,T-64BV,255,2,['destroyed'],https://i.postimg.cc/59wN4Ybq/689.png
8,UA,['the Soviet Union'],Tanks,T-64BV,255,3,['destroyed'],https://i.postimg.cc/442p3Kn8/443.png
9,UA,['the Soviet Union'],Tanks,T-64BV,255,4,['destroyed'],https://i.postimg.cc/Njvhbd38/38.png
10,UA,['the Soviet Union'],Tanks,T-64BV,255,5,['destroyed'],https://i.postimg.cc/jSkfDQJC/765.png
11,UA,['the Soviet Union'],Tanks,T-64BV,255,6,['destroyed'],https://i.postimg.cc/jSkfDQJC/765.png
12,UA,['the Soviet Union'],Tanks,T-64BV,255,7,['destroyed'],https://i.postimg.cc/C1XTdKjW/n8.png
13,UA,['the Soviet Union'],Tanks,T-64BV,255,8,['destroyed'],https://i.postimg.cc/44zyTqfZ/o9.png
14,UA,['the Soviet Union'],Tanks,T-64BV,255,9,['destroyed'],https://i.postimg.cc/zfdggTnG/17.png
15,UA,['the Soviet Union'],Tanks,T-64BV,255,10,['destroyed'],https://twitter.com/UAWeapons/status/1641178598454226944
16,UA,['the Soviet Union'],Tanks,T-64BV,255,11,['destroyed'],https://i.postimg.cc/xCh7ZpMw/5590.png
17,UA,['the Soviet Union'],Tanks,T-64BV,255,12,['destroyed'],https://i.postimg.cc/XvZLPhKf/24.png
18,UA,['the Soviet Union'],Tanks,T-64BV,255,13,['destroyed'],https://i.postimg.cc/8zC4rW64/321.png
19,UA,['the Soviet Union'],Tanks,T-64BV,255,14,['destroyed'],https://i.postimg.cc/LXjZKyB3/gy6.png
20,UA,['the Soviet Union'],Tanks,T-64BV,255,15,['destroyed'],https://i.postimg.cc/GpXfM7DH/12.png
21,UA,['the Soviet Union'],Tanks,T-64BV,255,16,['destroyed'],https://i.postimg.cc/MpP3ydft/35.png
22,UA,['the Soviet Union'],Tanks,T-64BV,255,17,['destroyed'],https://i.postimg.cc/15YP8yQG/467.png
23,UA,['the Soviet Union'],Tanks,T-64BV,255,18,['destroyed'],https://i.postimg.cc/15hWDxMQ/388.png
24,UA,['the Soviet Union'],Tanks,T-64BV,255,19,['destroyed'],https://postimg.cc/m1wCg20r
25,UA,['the Soviet Union'],Tanks,T-64BV,255,20,['destroyed'],https://i.postimg.cc/YqRKxCHL/4f8.png
26,UA,['the Soviet Union'],Tanks,T-64BV,255,21,['destroyed'],https://i.postimg.cc/Dw7LbFQz/f7.png
27,UA,['the Soviet Union'],Tanks,T-64BV,255,22,['destroyed'],https://i.postimg.cc/xTdfVcCD/57888.png
28,UA,['the Soviet Union'],Tanks,T-64BV,255,23,['destroyed'],https://i.postimg.cc/fLNrqgBC/64.jpg
29,UA,['the Soviet Union'],Tanks,T-64BV,255,24,['destroyed'],https://i.postimg.cc/fyK8zRsN/4448.png
30,UA,['the Soviet Union'],Tanks,T-64BV,255,25,['destroyed'],https://i.postimg.cc/prjPXPJ9/566.jpg
31,UA,['the Soviet Union'],Tanks,T-64BV,255,26,['destroyed'],https://i.postimg.cc/prjPXPJ9/566.jpg
32,UA,['the Soviet Union'],Tanks,T-64BV,255,27,['destroyed'],https://i.postimg.cc/QNwyyn6n/433.png
